,mean%,std%,p_vs_base
Baseline‑Full,94.49663505460012,1.211722160156088,
‑GlobalLocal,95.61989606533035,1.0525201840206257,0.29335689440803325
ConstantQ‑Only,93.09838472834068,1.6678144921586708,0.3109640959500783
Scalogram‑Only,91.81547619047619,4.123930494211611,0.3785062376504856
‑CausalAtt,94.43207126948775,1.020618194867674,0.947208341914237
